objectid,identifier,occurrence_date,day_of_week,occurrence_month,occurrence_day,occurrence_year,occurrence_hour,compstat_month,compstat_day,compstat_year,offense,offense_classification,sector,precinct,borough,jurisdiction,xcoordinate,ycoordinate,location_1_zip,location_1_city,location_1_state,location_1_address,serialid
793387,507268be,2012-11-16T22:30:00+00:00,Friday,Nov,16,2012,22,11,17,2012,GRAND LARCENY,FELONY,G,14,MANHATTAN,N.Y. POLICE DEPT,985473,214115,,,,,793387
796020,c00830d3,2014-03-17T18:00:00+00:00,Monday,Mar,17,2014,18,3,18,2014,GRAND LARCENY,FELONY,A,6,MANHATTAN,N.Y. POLICE DEPT,985280,203781,,,,,796020
794536,59a53df0,2011-11-23T12:15:00+00:00,Wednesday,Nov,23,2011,12,11,23,2011,GRAND LARCENY,FELONY,A,66,BROOKLYN,N.Y. POLICE DEPT,993858,163549,,,,,794536
793390,85725007,2012-11-16T22:45:00+00:00,Friday,Nov,16,2012,22,11,16,2012,ROBBERY,FELONY,D,46,BRONX,N.Y. POLICE DEPT,1012531,251809,,,,,793390
796023,9e7c7ea8,2014-03-17T18:05:00+00:00,Monday,Mar,17,2014,18,3,17,2014,FELONY ASSAULT,FELONY,I,73,BROOKLYN,N.Y. HOUSING POLICE,1010281,182200,,,,,796023
793392,5283dd5a,2012-11-16T23:00:00+00:00,Friday,Nov,16,2012,23,11,17,2012,GRAND LARCENY,FELONY,J,90,BROOKLYN,N.Y. POLICE DEPT,1001986,199076,,,,,793392
793393,a4b46f10,2012-11-16T23:00:00+00:00,Friday,Nov,16,2012,23,11,21,2012,GRAND LARCENY,FELONY,C,19,MANHATTAN,N.Y. POLICE DEPT,996506,222669,,,,,793393
796026,b2ef1146,2014-03-17T18:30:00+00:00,Monday,Mar,17,2014,18,3,17,2014,FELONY ASSAULT,FELONY,I,46,BRONX,N.Y. POLICE DEPT,1007243,248348,,,,,796026
793395,aa2326f7,2012-11-16T23:00:00+00:00,Friday,Nov,16,2012,23,11,22,2012,BURGLARY,FELONY,D,46,BRONX,N.Y. POLICE DEPT,1012480,252484,,,,,793395
794543,b662e996,2011-11-23T12:30:00+00:00,Wednesday,Nov,23,2011,12,11,23,2011,GRAND LARCENY,FELONY,F,79,BROOKLYN,N.Y. HOUSING POLICE,999070,193134,,,,,794543
796031,35dfbf8d,2014-03-17T19:00:00+00:00,Monday,Mar,17,2014,19,3,17,2014,GRAND LARCENY,FELONY,C,5,MANHATTAN,N.Y. POLICE DEPT,985997,200407,,,,,796031
794547,f9b5910f,2012-06-18T08:30:00+00:00,Monday,Jun,18,2012,8,6,18,2012,BURGLARY,FELONY,F,114,QUEENS,N.Y. POLICE DEPT,1007550,219173,,,,,794547
793401,9f62d0d1,2012-11-16T23:30:00+00:00,Friday,Nov,16,2012,23,11,17,2012,FELONY ASSAULT,FELONY,E,67,BROOKLYN,N.Y. POLICE DEPT,999615,171167,,,,,793401
796034,6.93E+23,2014-03-17T19:10:00+00:00,Monday,Mar,17,2014,19,3,17,2014,BURGLARY,FELONY,K,77,BROOKLYN,N.Y. POLICE DEPT,1005372,183781,,,,,796034
794550,cd08a601,2012-06-18T09:00:00+00:00,Monday,Jun,18,2012,9,6,18,2012,BURGLARY,FELONY,I,61,BROOKLYN,N.Y. POLICE DEPT,995179,159439,,,,,794550
794562,cebd6364,2012-06-18T09:25:00+00:00,Monday,Jun,18,2012,9,6,18,2012,ROBBERY,FELONY,K,114,QUEENS,N.Y. POLICE DEPT,1004587,217098,,,,,794562
793415,9aae3b7c,2011-09-25T21:35:00+00:00,Sunday,Sep,25,2011,21,9,25,2011,GRAND LARCENY,FELONY,I,110,QUEENS,N.Y. POLICE DEPT,1021150,207020,,,,,793415
796049,e6f3b202,2011-11-23T16:50:00+00:00,Wednesday,Nov,23,2011,16,11,25,2011,GRAND LARCENY,FELONY,C,24,MANHATTAN,N.Y. POLICE DEPT,993373,229301,,,,,796049
793418,eb020540,2011-09-25T22:00:00+00:00,Sunday,Sep,25,2011,22,9,30,2011,FELONY ASSAULT,FELONY,I,60,BROOKLYN,N.Y. HOUSING POLICE,989493,154385,,,,,793418
796052,450c4ec,2011-11-23T17:00:00+00:00,Wednesday,Nov,23,2011,17,11,25,2011,GRAND LARCENY OF MOTOR VEHICLE,FELONY,K,79,BROOKLYN,N.Y. POLICE DEPT,997297,192468,,,,,796052
793420,8e954998,2011-09-25T22:00:00+00:00,Sunday,Sep,25,2011,22,9,26,2011,GRAND LARCENY OF MOTOR VEHICLE,FELONY,G,68,BROOKLYN,N.Y. POLICE DEPT,974272,166006,,,,,793420
796055,7cbc71fd,2011-11-23T17:00:00+00:00,Wednesday,Nov,23,2011,17,11,25,2011,BURGLARY,FELONY,B,6,MANHATTAN,N.Y. POLICE DEPT,985034,206182,,,,,796055
793423,f90d17af,2011-09-25T22:00:00+00:00,Sunday,Sep,25,2011,22,9,27,2011,GRAND LARCENY OF MOTOR VEHICLE,FELONY,E,78,BROOKLYN,N.Y. POLICE DEPT,988936,183747,,,,,793423
796058,736e3909,2011-11-23T17:00:00+00:00,Wednesday,Nov,23,2011,17,11,25,2011,GRAND LARCENY,FELONY,H,18,MANHATTAN,N.Y. POLICE DEPT,990185,217632,,,,,796058
796713,eb6ca1a6,2012-11-24T18:00:00+00:00,Saturday,Nov,24,2012,18,12,10,2012,GRAND LARCENY,FELONY,,113,QUEENS,PORT AUTHORITY,1046367,186986,,,,,796713
796060,3fff506d,2012-06-18T15:00:00+00:00,Monday,Jun,18,2012,15,6,18,2012,BURGLARY,FELONY,T,109,QUEENS,N.Y. POLICE DEPT,1034275,216274,,,,,796060
796715,c71463ef,2012-11-24T18:05:00+00:00,Saturday,Nov,24,2012,18,11,24,2012,FELONY ASSAULT,FELONY,I,70,BROOKLYN,N.Y. POLICE DEPT,995724,174752,,,,,796715
793429,639daf39,2013-05-11T00:00:00+00:00,Saturday,May,11,2013,0,5,11,2013,GRAND LARCENY OF MOTOR VEHICLE,FELONY,C,75,BROOKLYN,N.Y. POLICE DEPT,1019336,189851,,,,,793429
794576,7f816e03,2012-08-24T12:00:00+00:00,Friday,Aug,24,2012,12,10,2,2012,GRAND LARCENY,FELONY,H,19,MANHATTAN,N.Y. POLICE DEPT,995364,220084,,,,,794576
796064,69b0585a,2012-06-18T15:00:00+00:00,Monday,Jun,18,2012,15,6,18,2012,BURGLARY,FELONY,G,40,BRONX,N.Y. POLICE DEPT,1007390,239183,,,,,796064
796719,7ef78f8b,2012-11-24T18:25:00+00:00,Saturday,Nov,24,2012,18,11,24,2012,GRAND LARCENY,FELONY,F,108,QUEENS,N.Y. POLICE DEPT,1009487,213664,,,,,796719
796066,d593fa97,2012-06-18T15:15:00+00:00,Monday,Jun,18,2012,15,6,18,2012,ROBBERY,FELONY,N,75,BROOKLYN,N.Y. POLICE DEPT,1016088,176313,,,,,796066
796721,17d29bad,2012-11-24T18:30:00+00:00,Saturday,Nov,24,2012,18,11,24,2012,FELONY ASSAULT,FELONY,E,47,BRONX,N.Y. POLICE DEPT,1022937,263018,,,,,796721
793435,2b765acc,2013-05-11T00:01:00+00:00,Saturday,May,11,2013,0,5,11,2013,GRAND LARCENY,FELONY,C,7,MANHATTAN,N.Y. POLICE DEPT,987517,202337,,,,,793435
796070,52819827,2012-06-18T15:20:00+00:00,Monday,Jun,18,2012,15,6,18,2012,GRAND LARCENY,FELONY,E,102,QUEENS,N.Y. POLICE DEPT,1022952,186787,,,,,796070
794584,56255d0c,2012-08-24T12:30:00+00:00,Friday,Aug,24,2012,12,8,25,2012,GRAND LARCENY,FELONY,D,10,MANHATTAN,N.Y. POLICE DEPT,983095,211680,,,,,794584
796072,ae318f4d,2012-06-18T15:20:00+00:00,Monday,Jun,18,2012,15,6,18,2012,ROBBERY,FELONY,B,34,MANHATTAN,N.Y. POLICE DEPT,1002460,252336,,,,,796072
794586,b3bc8e4,2012-08-24T12:35:00+00:00,Friday,Aug,24,2012,12,8,24,2012,ROBBERY,FELONY,I,40,BRONX,N.Y. POLICE DEPT,1007021,236272,,,,,794586
793445,99ed97e8,2012-07-09T12:30:00+00:00,Monday,Jul,9,2012,12,7,11,2012,FELONY ASSAULT,FELONY,H,49,BRONX,N.Y. POLICE DEPT,1020658,254596,,,,,793445
794595,c947d149,2012-11-24T05:20:00+00:00,Saturday,Nov,24,2012,5,11,24,2012,ROBBERY,FELONY,G,110,QUEENS,N.Y. POLICE DEPT,1023878,211559,,,,,794595
794596,b1fc1feb,2012-11-24T05:30:00+00:00,Saturday,Nov,24,2012,5,11,24,2012,FELONY ASSAULT,FELONY,C,102,QUEENS,N.Y. POLICE DEPT,1030079,189367,,,,,794596
793447,8002206f,2012-07-09T13:00:00+00:00,Monday,Jul,9,2012,13,7,9,2012,ROBBERY,FELONY,K,67,BROOKLYN,N.Y. POLICE DEPT,1005693,173837,,,,,793447
796084,f0c2fb5a,2012-08-24T17:30:00+00:00,Friday,Aug,24,2012,17,8,25,2012,BURGLARY,FELONY,H,14,MANHATTAN,N.Y. POLICE DEPT,987404,215746,,,,,796084
794613,57c07485,2011-10-28T03:40:00+00:00,Friday,Oct,28,2011,3,10,28,2011,GRAND LARCENY OF MOTOR VEHICLE,FELONY,J,50,BRONX,N.Y. POLICE DEPT,1011782,271578,,,,,794613
793463,168e5a4a,2012-07-09T13:30:00+00:00,Monday,Jul,9,2012,13,7,10,2012,GRAND LARCENY OF MOTOR VEHICLE,FELONY,I,104,QUEENS,N.Y. POLICE DEPT,1007834,196572,,,,,793463
796101,639bc2fd,2012-11-24T15:00:00+00:00,Saturday,Nov,24,2012,15,11,24,2012,ROBBERY,FELONY,N,67,BROOKLYN,N.Y. POLICE DEPT,1004393,181589,,,,,796101
796756,9a6395f9,2013-05-11T17:00:00+00:00,Saturday,May,11,2013,17,5,12,2013,BURGLARY,FELONY,J,110,QUEENS,N.Y. POLICE DEPT,1025014,212350,,,,,796756
794617,526fab83,2011-10-28T04:30:00+00:00,Friday,Oct,28,2011,4,10,28,2011,BURGLARY,FELONY,B,47,BRONX,N.Y. POLICE DEPT,1021451,259501,,,,,794617
796758,808e5aa2,2013-05-11T17:00:00+00:00,Saturday,May,11,2013,17,5,11,2013,FELONY ASSAULT,FELONY,B,25,MANHATTAN,N.Y. POLICE DEPT,1001507,232215,,,,,796758
794619,3fa9e50a,2011-10-28T04:50:00+00:00,Friday,Oct,28,2011,4,10,28,2011,ROBBERY,FELONY,C,69,BROOKLYN,N.Y. POLICE DEPT,1011121,170799,,,,,794619
793469,c54780ee,2013-05-03T17:09:00+00:00,Friday,May,3,2013,17,5,4,2013,GRAND LARCENY,FELONY,G,106,QUEENS,N.Y. POLICE DEPT,1033644,189662,,,,,793469
793470,70f5dc77,2013-05-03T17:13:00+00:00,Friday,May,3,2013,17,6,18,2013,GRAND LARCENY,FELONY,J,43,BRONX,N.Y. POLICE DEPT,1024445,245868,,,,,793470
796762,aa27e5be,2013-05-11T17:15:00+00:00,Saturday,May,11,2013,17,5,11,2013,GRAND LARCENY,FELONY,H,88,BROOKLYN,N.Y. POLICE DEPT,991290,189640,,,,,796762
793472,8a72a357,2013-05-03T17:15:00+00:00,Friday,May,3,2013,17,5,3,2013,GRAND LARCENY,FELONY,A,34,MANHATTAN,N.Y. POLICE DEPT,1002514,248588,,,,,793472
794624,717f2fa0,2011-10-28T05:15:00+00:00,Friday,Oct,28,2011,5,10,28,2011,ROBBERY,FELONY,A,71,BROOKLYN,N.Y. POLICE DEPT,996306,182141,,,,,794624
796110,e5576cd5,2012-11-24T15:30:00+00:00,Saturday,Nov,24,2012,15,11,24,2012,BURGLARY,FELONY,H,83,BROOKLYN,N.Y. POLICE DEPT,1008349,194255,,,,,796110
796765,28855f52,2012-08-26T03:00:00+00:00,Sunday,Aug,26,2012,3,8,26,2012,ROBBERY,FELONY,F,108,QUEENS,N.Y. TRANSIT POLICE,1010042,213732,,,,,796765
796112,7f64ceb6,2012-11-24T15:30:00+00:00,Saturday,Nov,24,2012,15,11,24,2012,GRAND LARCENY,FELONY,B,34,MANHATTAN,N.Y. POLICE DEPT,1002850,251332,,,,,796112
794628,7ca86666,2013-05-11T03:45:00+00:00,Saturday,May,11,2013,3,5,18,2013,GRAND LARCENY,FELONY,I,6,MANHATTAN,N.Y. POLICE DEPT,981977,209660,,,,,794628
793476,b2a4ea77,2013-05-03T17:30:00+00:00,Friday,May,3,2013,17,5,3,2013,GRAND LARCENY,FELONY,C,1,MANHATTAN,N.Y. POLICE DEPT,981257,196158,,,,,793476
796768,b8196d78,2012-08-26T03:00:00+00:00,Sunday,Aug,26,2012,3,8,26,2012,ROBBERY,FELONY,A,33,MANHATTAN,N.Y. POLICE DEPT,1000758,241841,,,,,796768
794630,302c1bee,2013-05-11T03:50:00+00:00,Saturday,May,11,2013,3,5,11,2013,FELONY ASSAULT,FELONY,F,108,QUEENS,N.Y. POLICE DEPT,1010869,213852,,,,,794630
796115,1b031215,2012-11-24T16:00:00+00:00,Saturday,Nov,24,2012,16,11,24,2012,ROBBERY,FELONY,I,60,BROOKLYN,N.Y. HOUSING POLICE,989950,154057,,,,,796115
794632,52bf6253,2013-05-11T03:55:00+00:00,Saturday,May,11,2013,3,5,11,2013,RAPE,FELONY,F,70,BROOKLYN,N.Y. POLICE DEPT,991547,168934,,,,,794632
796117,bf07c2de,2012-11-24T16:00:00+00:00,Saturday,Nov,24,2012,16,11,26,2012,BURGLARY,FELONY,E,71,BROOKLYN,N.Y. POLICE DEPT,997520,180274,,,,,796117
796772,a457bc51,2012-08-26T03:30:00+00:00,Sunday,Aug,26,2012,3,8,26,2012,FELONY ASSAULT,FELONY,B,79,BROOKLYN,N.Y. POLICE DEPT,1001505,187642,,,,,796772
796119,82de32aa,2012-11-24T16:00:00+00:00,Saturday,Nov,24,2012,16,11,25,2012,GRAND LARCENY,FELONY,D,10,MANHATTAN,N.Y. POLICE DEPT,983095,211680,,,,,796119
796774,b42e720f,2012-08-26T03:30:00+00:00,Sunday,Aug,26,2012,3,8,26,2012,FELONY ASSAULT,FELONY,J,113,QUEENS,N.Y. POLICE DEPT,1053781,191320,,,,,796774
796121,885a44de,2011-10-28T11:54:00+00:00,Friday,Oct,28,2011,11,10,28,2011,GRAND LARCENY OF MOTOR VEHICLE,FELONY,F,10,MANHATTAN,N.Y. POLICE DEPT,984380,215456,,,,,796121
796780,dc7f671f,2012-08-26T03:41:00+00:00,Sunday,Aug,26,2012,3,8,26,2012,FELONY ASSAULT,FELONY,G,70,BROOKLYN,N.Y. POLICE DEPT,998209,171914,,,,,796780
794643,89f70f6e,2013-05-11T04:00:00+00:00,Saturday,May,11,2013,4,6,15,2013,FELONY ASSAULT,FELONY,D,25,MANHATTAN,N.Y. POLICE DEPT,1001488,233153,,,,,794643
